date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
10/26/21,7:30p,Philadelphia 76ers,99,New York Knicks,112,Madison Square Garden (IV),New York Knicks,,Philadelphia 76ers,New York Knicks,Philadelphia 76ers,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Tue,7:30:00 PM,19:30:00,N,10/26/21,New York KnicksPhiladelphia 76ers2021-10-26
10/26/21,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Paycom Center,Golden State Warriors,@,Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Tue,8:00:00 PM,20:00:00,N,10/26/21,Golden State WarriorsOklahoma City Thunder2021-10-26
10/26/21,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,AT&T Center,Los Angeles Lakers,@,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Tue,8:30:00 PM,20:30:00,N,10/26/21,Los Angeles LakersSan Antonio Spurs2021-10-26
10/26/21,8:30p,Houston Rockets,106,Dallas Mavericks,116,American Airlines Center,Dallas Mavericks,,Houston Rockets,Dallas Mavericks,Houston Rockets,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Tue,8:30:00 PM,20:30:00,N,10/26/21,Dallas MavericksHouston Rockets2021-10-26
10/26/21,10:00p,Denver Nuggets,110,Utah Jazz,122,Vivint Smart Home Arena,Utah Jazz,,Denver Nuggets,Denver Nuggets,Utah Jazz,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Tue,10:00:00 PM,22:00:00,N,10/26/21,Denver NuggetsUtah Jazz2021-10-26
10/27/21,7:00p,Charlotte Hornets,120,Orlando Magic,111,Amway Center,Charlotte Hornets,@,Orlando Magic,Charlotte Hornets,Orlando Magic,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Wed,7:00:00 PM,19:00:00,N,10/27/21,Charlotte HornetsOrlando Magic2021-10-27
10/27/21,7:30p,Washington Wizards,116,Boston Celtics,107,TD Garden,Washington Wizards,@,Boston Celtics,Boston Celtics,Washington Wizards,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,10/27/21,Boston CelticsWashington Wizards2021-10-27
10/27/21,7:30p,Miami Heat,106,Brooklyn Nets,93,Barclays Center,Miami Heat,@,Brooklyn Nets,Brooklyn Nets,Miami Heat,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,10/27/21,Brooklyn NetsMiami Heat2021-10-27
10/27/21,7:30p,Indiana Pacers,100,Toronto Raptors,118,Scotiabank Arena,Toronto Raptors,,Indiana Pacers,Indiana Pacers,Toronto Raptors,Eastern,Atlantic,Eastern,Central,Central,Atlantic,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,10/27/21,Indiana PacersToronto Raptors2021-10-27
10/27/21,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Smoothie King Center,Atlanta Hawks,@,New Orleans Pelicans,Atlanta Hawks,New Orleans Pelicans,Western,Southwest,Western,Southeast,Southeast,Southwest,Eastern,Western,Wed,7:30:00 PM,19:30:00,N,10/27/21,Atlanta HawksNew Orleans Pelicans2021-10-27
10/27/21,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Fiserv Forum,Minnesota Timberwolves,@,Milwaukee Bucks,Milwaukee Bucks,Minnesota Timberwolves,Eastern,Central,Eastern,Northwest,Central,Northwest,Eastern,Western,Wed,8:00:00 PM,20:00:00,N,10/27/21,Milwaukee BucksMinnesota Timberwolves2021-10-27
10/27/21,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Paycom Center,Oklahoma City Thunder,,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Wed,8:00:00 PM,20:00:00,N,10/27/21,Los Angeles LakersOklahoma City Thunder2021-10-27
10/27/21,10:00p,Sacramento Kings,110,Phoenix Suns,107,Phoenix Suns Arena,Sacramento Kings,@,Phoenix Suns,Phoenix Suns,Sacramento Kings,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Wed,10:00:00 PM,22:00:00,N,10/27/21,Phoenix SunsSacramento Kings2021-10-27
10/27/21,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Moda Center,Portland Trail Blazers,,Memphis Grizzlies,Memphis Grizzlies,Portland Trail Blazers,Western,Northwest,Western,Southwest,Southwest,Northwest,Western,Western,Wed,10:00:00 PM,22:00:00,N,10/27/21,Memphis GrizzliesPortland Trail Blazers2021-10-27
10/27/21,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Crypto.com Arena,Cleveland Cavaliers,@,Los Angeles Clippers,Cleveland Cavaliers,Los Angeles Clippers,Western,Pacific,Western,Central,Central,Pacific,Western,Western,Wed,10:30:00 PM,22:30:00,N,10/27/21,Cleveland CavaliersLos Angeles Clippers2021-10-27
10/28/21,7:00p,Atlanta Hawks,111,Washington Wizards,122,Capital One Arena,Washington Wizards,,Atlanta Hawks,Atlanta Hawks,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Thu,7:00:00 PM,19:00:00,N,10/28/21,Atlanta HawksWashington Wizards2021-10-28
10/28/21,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Wells Fargo Center,Philadelphia 76ers,,Detroit Pistons,Detroit Pistons,Philadelphia 76ers,Eastern,Atlantic,Eastern,Central,Central,Atlantic,Eastern,Eastern,Thu,7:00:00 PM,19:00:00,N,10/28/21,Detroit PistonsPhiladelphia 76ers2021-10-28
10/28/21,8:00p,Utah Jazz,122,Houston Rockets,91,Toyota Center,Utah Jazz,@,Houston Rockets,Houston Rockets,Utah Jazz,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Thu,8:00:00 PM,20:00:00,N,10/28/21,Houston RocketsUtah Jazz2021-10-28
