date,Start (ET),away_team,PTS,home_team,PTS.1,Arena,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
11/18/22,8:00p,Orlando Magic,108,Chicago Bulls,107,United Center,Orlando Magic,@,Chicago Bulls,Chicago Bulls,Orlando Magic,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Fri,8:00:00 PM,20:00:00,N,11/18/22,Chicago BullsOrlando Magic2022-11-18
11/18/22,8:00p,Indiana Pacers,99,Houston Rockets,91,Toyota Center,Indiana Pacers,@,Houston Rockets,Houston Rockets,Indiana Pacers,Western,Southwest,Western,Central,Southwest,Central,Western,Eastern,Fri,8:00:00 PM,20:00:00,N,11/18/22,Houston RocketsIndiana Pacers2022-11-18
11/18/22,8:00p,Oklahoma City Thunder,110,Memphis Grizzlies,121,FedEx Forum,Memphis Grizzlies,,Oklahoma City Thunder,Memphis Grizzlies,Oklahoma City Thunder,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Fri,8:00:00 PM,20:00:00,N,11/18/22,Memphis GrizzliesOklahoma City Thunder2022-11-18
11/18/22,8:30p,Denver Nuggets,99,Dallas Mavericks,127,American Airlines Center,Dallas Mavericks,,Denver Nuggets,Dallas Mavericks,Denver Nuggets,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Fri,8:30:00 PM,20:30:00,N,11/18/22,Dallas MavericksDenver Nuggets2022-11-18
11/18/22,8:30p,Boston Celtics,117,New Orleans Pelicans,109,Smoothie King Center,Boston Celtics,@,New Orleans Pelicans,Boston Celtics,New Orleans Pelicans,Western,Southwest,Western,Atlantic,Atlantic,Southwest,Eastern,Western,Fri,8:30:00 PM,20:30:00,N,11/18/22,Boston CelticsNew Orleans Pelicans2022-11-18
11/18/22,9:00p,Phoenix Suns,133,Utah Jazz,134,Vivint Arena,Utah Jazz,,Phoenix Suns,Phoenix Suns,Utah Jazz,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Fri,9:00:00 PM,21:00:00,N,11/18/22,Phoenix SunsUtah Jazz2022-11-18
11/18/22,10:00p,New York Knicks,101,Golden State Warriors,111,Chase Center,Golden State Warriors,,New York Knicks,Golden State Warriors,New York Knicks,Western,Pacific,Eastern,Atlantic,Pacific,Atlantic,Western,Eastern,Fri,10:00:00 PM,22:00:00,N,11/18/22,Golden State WarriorsNew York Knicks2022-11-18
11/18/22,10:30p,Detroit Pistons,121,Los Angeles Lakers,128,Crypto.com Arena,Los Angeles Lakers,,Detroit Pistons,Detroit Pistons,Los Angeles Lakers,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Fri,10:30:00 PM,22:30:00,N,11/18/22,Detroit PistonsLos Angeles Lakers2022-11-18
11/19/22,6:00p,Toronto Raptors,122,Atlanta Hawks,124,State Farm Arena,Atlanta Hawks,,Toronto Raptors,Atlanta Hawks,Toronto Raptors,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Sat,6:00:00 PM,18:00:00,N,11/19/22,Atlanta HawksToronto Raptors2022-11-19
11/19/22,7:00p,Orlando Magic,113,Indiana Pacers,114,Gainbridge Fieldhouse,Indiana Pacers,,Orlando Magic,Indiana Pacers,Orlando Magic,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Sat,7:00:00 PM,19:00:00,N,11/19/22,Indiana PacersOrlando Magic2022-11-19
11/19/22,7:30p,Minnesota Timberwolves,112,Philadelphia 76ers,109,Wells Fargo Center,Minnesota Timberwolves,@,Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Eastern,Atlantic,Eastern,Northwest,Northwest,Atlantic,Western,Eastern,Sat,7:30:00 PM,19:30:00,N,11/19/22,Minnesota TimberwolvesPhiladelphia 76ers2022-11-19
11/19/22,10:00p,Utah Jazz,118,Portland Trail Blazers,113,Moda Center,Utah Jazz,@,Portland Trail Blazers,Portland Trail Blazers,Utah Jazz,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Sat,10:00:00 PM,22:00:00,N,11/19/22,Portland Trail BlazersUtah Jazz2022-11-19
11/19/22,10:30p,San Antonio Spurs,97,Los Angeles Clippers,119,Crypto.com Arena,Los Angeles Clippers,,San Antonio Spurs,Los Angeles Clippers,San Antonio Spurs,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Sat,10:30:00 PM,22:30:00,N,11/19/22,Los Angeles ClippersSan Antonio Spurs2022-11-19
11/20/22,3:30p,New York Knicks,95,Phoenix Suns,116,Footprint Center,Phoenix Suns,,New York Knicks,New York Knicks,Phoenix Suns,Western,Pacific,Eastern,Atlantic,Atlantic,Pacific,Eastern,Western,Sun,3:30:00 PM,15:30:00,D,11/20/22,New York KnicksPhoenix Suns2022-11-20
11/20/22,6:00p,Detroit Pistons,129,Sacramento Kings,137,Golden 1 Center,Sacramento Kings,,Detroit Pistons,Detroit Pistons,Sacramento Kings,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Sun,6:00:00 PM,18:00:00,N,11/20/22,Detroit PistonsSacramento Kings2022-11-20
11/20/22,6:00p,Charlotte Hornets,102,Washington Wizards,106,Capital One Arena,Washington Wizards,,Charlotte Hornets,Charlotte Hornets,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Sun,6:00:00 PM,18:00:00,N,11/20/22,Charlotte HornetsWashington Wizards2022-11-20
11/20/22,7:00p,Memphis Grizzlies,115,Brooklyn Nets,127,Barclays Center,Brooklyn Nets,,Memphis Grizzlies,Brooklyn Nets,Memphis Grizzlies,Eastern,Atlantic,Western,Southwest,Atlantic,Southwest,Eastern,Western,Sun,7:00:00 PM,19:00:00,N,11/20/22,Brooklyn NetsMemphis Grizzlies2022-11-20
11/20/22,7:00p,Miami Heat,87,Cleveland Cavaliers,113,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Miami Heat,Cleveland Cavaliers,Miami Heat,Western,Central,Eastern,Southeast,Central,Southeast,Western,Eastern,Sun,7:00:00 PM,19:00:00,N,11/20/22,Cleveland CavaliersMiami Heat2022-11-20
11/20/22,7:00p,Golden State Warriors,127,Houston Rockets,120,Toyota Center,Golden State Warriors,@,Houston Rockets,Golden State Warriors,Houston Rockets,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Sun,7:00:00 PM,19:00:00,N,11/20/22,Golden State WarriorsHouston Rockets2022-11-20
11/20/22,7:30p,Denver Nuggets,98,Dallas Mavericks,97,American Airlines Center,Denver Nuggets,@,Dallas Mavericks,Dallas Mavericks,Denver Nuggets,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Sun,7:30:00 PM,19:30:00,N,11/20/22,Dallas MavericksDenver Nuggets2022-11-20
11/20/22,9:30p,San Antonio Spurs,92,Los Angeles Lakers,123,Crypto.com Arena,Los Angeles Lakers,,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,Western,Pacific,Western,Southwest,Pacific,Southwest,Western,Western,Sun,9:30:00 PM,21:30:00,N,11/20/22,Los Angeles LakersSan Antonio Spurs2022-11-20
11/21/22,7:00p,Atlanta Hawks,102,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,Western,Central,Eastern,Southeast,Southeast,Central,Eastern,Western,Mon,7:00:00 PM,19:00:00,N,11/21/22,Atlanta HawksCleveland Cavaliers2022-11-21
11/21/22,7:00p,Orlando Magic,102,Indiana Pacers,123,Gainbridge Fieldhouse,Indiana Pacers,,Orlando Magic,Indiana Pacers,Orlando Magic,Eastern,Central,Eastern,Southeast,Central,Southeast,Eastern,Eastern,Mon,7:00:00 PM,19:00:00,N,11/21/22,Indiana PacersOrlando Magic2022-11-21
11/21/22,8:00p,Boston Celtics,107,Chicago Bulls,121,United Center,Chicago Bulls,,Boston Celtics,Boston Celtics,Chicago Bulls,Eastern,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Eastern,Mon,8:00:00 PM,20:00:00,N,11/21/22,Boston CelticsChicago Bulls2022-11-21
11/21/22,8:00p,Portland Trail Blazers,111,Milwaukee Bucks,119,Fiserv Forum,Milwaukee Bucks,,Portland Trail Blazers,Milwaukee Bucks,Portland Trail Blazers,Eastern,Central,Western,Northwest,Central,Northwest,Eastern,Western,Mon,8:00:00 PM,20:00:00,N,11/21/22,Milwaukee BucksPortland Trail Blazers2022-11-21
11/21/22,8:00p,Miami Heat,101,Minnesota Timberwolves,105,Target Center,Minnesota Timberwolves,,Miami Heat,Miami Heat,Minnesota Timberwolves,Western,Northwest,Eastern,Southeast,Southeast,Northwest,Eastern,Western,Mon,8:00:00 PM,20:00:00,N,11/21/22,Miami HeatMinnesota Timberwolves2022-11-21
11/21/22,8:00p,Golden State Warriors,83,New Orleans Pelicans,128,Smoothie King Center,New Orleans Pelicans,,Golden State Warriors,Golden State Warriors,New Orleans Pelicans,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Mon,8:00:00 PM,20:00:00,N,11/21/22,Golden State WarriorsNew Orleans Pelicans2022-11-21
11/21/22,8:00p,New York Knicks,129,Oklahoma City Thunder,119,Paycom Center,New York Knicks,@,Oklahoma City Thunder,New York Knicks,Oklahoma City Thunder,Western,Northwest,Western,Atlantic,Atlantic,Northwest,Eastern,Western,Mon,8:00:00 PM,20:00:00,N,11/21/22,New York KnicksOklahoma City Thunder2022-11-21
11/21/22,10:30p,Utah Jazz,114,Los Angeles Clippers,121,Crypto.com Arena,Los Angeles Clippers,,Utah Jazz,Los Angeles Clippers,Utah Jazz,Western,Pacific,Western,Northwest,Pacific,Northwest,Western,Western,Mon,10:30:00 PM,22:30:00,N,11/21/22,Los Angeles ClippersUtah Jazz2022-11-21
11/22/22,7:30p,Brooklyn Nets,106,Philadelphia 76ers,115,Wells Fargo Center,Philadelphia 76ers,,Brooklyn Nets,Brooklyn Nets,Philadelphia 76ers,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Tue,7:30:00 PM,19:30:00,N,11/22/22,Brooklyn NetsPhiladelphia 76ers2022-11-22
11/22/22,8:00p,Sacramento Kings,113,Memphis Grizzlies,109,FedEx Forum,Sacramento Kings,@,Memphis Grizzlies,Memphis Grizzlies,Sacramento Kings,Western,Southwest,Western,Pacific,Southwest,Pacific,Western,Western,Tue,8:00:00 PM,20:00:00,N,11/22/22,Memphis GrizzliesSacramento Kings2022-11-22
11/22/22,9:00p,Detroit Pistons,110,Denver Nuggets,108,Ball Arena,Detroit Pistons,@,Denver Nuggets,Denver Nuggets,Detroit Pistons,Western,Northwest,Western,Central,Northwest,Central,Western,Eastern,Tue,9:00:00 PM,21:00:00,N,11/22/22,Denver NuggetsDetroit Pistons2022-11-22
11/22/22,10:00p,Los Angeles Lakers,105,Phoenix Suns,115,Footprint Center,Phoenix Suns,,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Tue,10:00:00 PM,22:00:00,N,11/22/22,Los Angeles LakersPhoenix Suns2022-11-22
11/23/22,7:00p,Philadelphia 76ers,101,Charlotte Hornets,107,Spectrum Center,Charlotte Hornets,,Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Wed,7:00:00 PM,19:00:00,N,11/23/22,Charlotte HornetsPhiladelphia 76ers2022-11-23
11/23/22,7:00p,Portland Trail Blazers,96,Cleveland Cavaliers,114,Rocket Mortgage Fieldhouse,Cleveland Cavaliers,,Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Western,Central,Western,Northwest,Central,Northwest,Western,Western,Wed,7:00:00 PM,19:00:00,N,11/23/22,Cleveland CavaliersPortland Trail Blazers2022-11-23
11/23/22,7:00p,Minnesota Timberwolves,115,Indiana Pacers,101,Gainbridge Fieldhouse,Minnesota Timberwolves,@,Indiana Pacers,Indiana Pacers,Minnesota Timberwolves,Eastern,Central,Eastern,Northwest,Central,Northwest,Eastern,Western,Wed,7:00:00 PM,19:00:00,N,11/23/22,Indiana PacersMinnesota Timberwolves2022-11-23
11/23/22,7:30p,Sacramento Kings,106,Atlanta Hawks,115,State Farm Arena,Atlanta Hawks,,Sacramento Kings,Atlanta Hawks,Sacramento Kings,Eastern,Southeast,Western,Pacific,Southeast,Pacific,Eastern,Western,Wed,7:30:00 PM,19:30:00,N,11/23/22,Atlanta HawksSacramento Kings2022-11-23
11/23/22,7:30p,Dallas Mavericks,112,Boston Celtics,125,TD Garden,Boston Celtics,,Dallas Mavericks,Boston Celtics,Dallas Mavericks,Eastern,Atlantic,Western,Southwest,Atlantic,Southwest,Eastern,Western,Wed,7:30:00 PM,19:30:00,N,11/23/22,Boston CelticsDallas Mavericks2022-11-23
11/23/22,7:30p,Washington Wizards,105,Miami Heat,113,Kaseya Center,Miami Heat,,Washington Wizards,Miami Heat,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,11/23/22,Miami HeatWashington Wizards2022-11-23
11/23/22,7:30p,Brooklyn Nets,112,Toronto Raptors,98,Scotiabank Arena,Brooklyn Nets,@,Toronto Raptors,Brooklyn Nets,Toronto Raptors,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,Wed,7:30:00 PM,19:30:00,N,11/23/22,Brooklyn NetsToronto Raptors2022-11-23
11/23/22,8:00p,Chicago Bulls,118,Milwaukee Bucks,113,Fiserv Forum,Chicago Bulls,@,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Eastern,Central,Eastern,Central,Central,Central,Eastern,Eastern,Wed,8:00:00 PM,20:00:00,N,11/23/22,Chicago BullsMilwaukee Bucks2022-11-23
11/23/22,8:00p,Denver Nuggets,131,Oklahoma City Thunder,126,Paycom Center,Denver Nuggets,@,Oklahoma City Thunder,Denver Nuggets,Oklahoma City Thunder,Western,Northwest,Western,Northwest,Northwest,Northwest,Western,Western,Wed,8:00:00 PM,20:00:00,N,11/23/22,Denver NuggetsOklahoma City Thunder2022-11-23
11/23/22,8:00p,New Orleans Pelicans,129,San Antonio Spurs,110,AT&T Center,New Orleans Pelicans,@,San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Wed,8:00:00 PM,20:00:00,N,11/23/22,New Orleans PelicansSan Antonio Spurs2022-11-23
11/23/22,9:00p,Detroit Pistons,125,Utah Jazz,116,Vivint Arena,Detroit Pistons,@,Utah Jazz,Detroit Pistons,Utah Jazz,Western,Northwest,Western,Central,Central,Northwest,Eastern,Western,Wed,9:00:00 PM,21:00:00,N,11/23/22,Detroit PistonsUtah Jazz2022-11-23
11/23/22,10:00p,Los Angeles Clippers,107,Golden State Warriors,124,Chase Center,Golden State Warriors,,Los Angeles Clippers,Golden State Warriors,Los Angeles Clippers,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Wed,10:00:00 PM,22:00:00,N,11/23/22,Golden State WarriorsLos Angeles Clippers2022-11-23
11/25/22,5:00p,Minnesota Timberwolves,108,Charlotte Hornets,110,Spectrum Center,Charlotte Hornets,,Minnesota Timberwolves,Charlotte Hornets,Minnesota Timberwolves,Eastern,Southeast,Western,Northwest,Southeast,Northwest,Eastern,Western,Fri,5:00:00 PM,17:00:00,D,11/25/22,Charlotte HornetsMinnesota Timberwolves2022-11-25
11/25/22,7:00p,Philadelphia 76ers,107,Orlando Magic,99,Amway Center,Philadelphia 76ers,@,Orlando Magic,Orlando Magic,Philadelphia 76ers,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Fri,7:00:00 PM,19:00:00,N,11/25/22,Orlando MagicPhiladelphia 76ers2022-11-25
11/25/22,7:30p,Portland Trail Blazers,132,New York Knicks,129,Madison Square Garden (IV),Portland Trail Blazers,@,New York Knicks,New York Knicks,Portland Trail Blazers,Eastern,Atlantic,Eastern,Northwest,Atlantic,Northwest,Eastern,Western,Fri,7:30:00 PM,19:30:00,N,11/25/22,New York KnicksPortland Trail Blazers2022-11-25
11/25/22,8:00p,Sacramento Kings,104,Boston Celtics,122,TD Garden,Boston Celtics,,Sacramento Kings,Boston Celtics,Sacramento Kings,Eastern,Atlantic,Western,Pacific,Atlantic,Pacific,Eastern,Western,Fri,8:00:00 PM,20:00:00,N,11/25/22,Boston CelticsSacramento Kings2022-11-25
11/25/22,8:00p,Atlanta Hawks,122,Houston Rockets,128,Toyota Center,Houston Rockets,,Atlanta Hawks,Atlanta Hawks,Houston Rockets,Western,Southwest,Eastern,Southeast,Southeast,Southwest,Eastern,Western,Fri,8:00:00 PM,20:00:00,N,11/25/22,Atlanta HawksHouston Rockets2022-11-25
11/25/22,8:00p,Brooklyn Nets,117,Indiana Pacers,128,Gainbridge Fieldhouse,Indiana Pacers,,Brooklyn Nets,Brooklyn Nets,Indiana Pacers,Eastern,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Eastern,Fri,8:00:00 PM,20:00:00,N,11/25/22,Brooklyn NetsIndiana Pacers2022-11-25
11/25/22,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,132,FedEx Forum,Memphis Grizzlies,,New Orleans Pelicans,Memphis Grizzlies,New Orleans Pelicans,Western,Southwest,Western,Southwest,Southwest,Southwest,Western,Western,Fri,8:00:00 PM,20:00:00,N,11/25/22,Memphis GrizzliesNew Orleans Pelicans2022-11-25
11/25/22,8:00p,Washington Wizards,107,Miami Heat,110,Kaseya Center,Miami Heat,,Washington Wizards,Miami Heat,Washington Wizards,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Fri,8:00:00 PM,20:00:00,N,11/25/22,Miami HeatWashington Wizards2022-11-25
11/25/22,8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,117,Fiserv Forum,Milwaukee Bucks,,Cleveland Cavaliers,Cleveland Cavaliers,Milwaukee Bucks,Eastern,Central,Western,Central,Central,Central,Western,Eastern,Fri,8:00:00 PM,20:00:00,N,11/25/22,Cleveland CavaliersMilwaukee Bucks2022-11-25
11/25/22,8:00p,Chicago Bulls,119,Oklahoma City Thunder,123,Paycom Center,Oklahoma City Thunder,,Chicago Bulls,Chicago Bulls,Oklahoma City Thunder,Western,Northwest,Eastern,Central,Central,Northwest,Eastern,Western,Fri,8:00:00 PM,20:00:00,N,11/25/22,Chicago BullsOklahoma City Thunder2022-11-25
11/25/22,8:00p,Los Angeles Lakers,105,San Antonio Spurs,94,AT&T Center,Los Angeles Lakers,@,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Fri,8:00:00 PM,20:00:00,N,11/25/22,Los Angeles LakersSan Antonio Spurs2022-11-25
11/25/22,9:00p,Detroit Pistons,102,Phoenix Suns,108,Footprint Center,Phoenix Suns,,Detroit Pistons,Detroit Pistons,Phoenix Suns,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Fri,9:00:00 PM,21:00:00,N,11/25/22,Detroit PistonsPhoenix Suns2022-11-25
11/25/22,10:00p,Utah Jazz,118,Golden State Warriors,129,Chase Center,Golden State Warriors,,Utah Jazz,Golden State Warriors,Utah Jazz,Western,Pacific,Western,Northwest,Pacific,Northwest,Western,Western,Fri,10:00:00 PM,22:00:00,N,11/25/22,Golden State WarriorsUtah Jazz2022-11-25
11/25/22,10:30p,Denver Nuggets,114,Los Angeles Clippers,104,Crypto.com Arena,Denver Nuggets,@,Los Angeles Clippers,Denver Nuggets,Los Angeles Clippers,Western,Pacific,Western,Northwest,Northwest,Pacific,Western,Western,Fri,10:30:00 PM,22:30:00,N,11/25/22,Denver NuggetsLos Angeles Clippers2022-11-25
11/26/22,5:00p,Dallas Mavericks,100,Toronto Raptors,105,Scotiabank Arena,Toronto Raptors,,Dallas Mavericks,Dallas Mavericks,Toronto Raptors,Eastern,Atlantic,Western,Southwest,Southwest,Atlantic,Western,Eastern,Sat,5:00:00 PM,17:00:00,D,11/26/22,Dallas MavericksToronto Raptors2022-11-26
11/26/22,8:00p,Oklahoma City Thunder,105,Houston Rockets,118,Toyota Center,Houston Rockets,,Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Sat,8:00:00 PM,20:00:00,N,11/26/22,Houston RocketsOklahoma City Thunder2022-11-26
11/26/22,8:00p,Los Angeles Lakers,143,San Antonio Spurs,138,AT&T Center,Los Angeles Lakers,@,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,Western,Southwest,Western,Pacific,Pacific,Southwest,Western,Western,Sat,8:00:00 PM,20:00:00,N,11/26/22,Los Angeles LakersSan Antonio Spurs2022-11-26
11/26/22,9:00p,Utah Jazz,112,Phoenix Suns,113,Footprint Center,Phoenix Suns,,Utah Jazz,Phoenix Suns,Utah Jazz,Western,Pacific,Western,Northwest,Pacific,Northwest,Western,Western,Sat,9:00:00 PM,21:00:00,N,11/26/22,Phoenix SunsUtah Jazz2022-11-26
11/27/22,3:00p,Portland Trail Blazers,97,Brooklyn Nets,111,Barclays Center,Brooklyn Nets,,Portland Trail Blazers,Brooklyn Nets,Portland Trail Blazers,Eastern,Atlantic,Western,Northwest,Atlantic,Northwest,Eastern,Western,Sun,3:00:00 PM,15:00:00,D,11/27/22,Brooklyn NetsPortland Trail Blazers2022-11-27
11/27/22,3:30p,Golden State Warriors,137,Minnesota Timberwolves,114,Target Center,Golden State Warriors,@,Minnesota Timberwolves,Golden State Warriors,Minnesota Timberwolves,Western,Northwest,Western,Pacific,Pacific,Northwest,Western,Western,Sun,3:30:00 PM,15:30:00,D,11/27/22,Golden State WarriorsMinnesota Timberwolves2022-11-27
11/27/22,4:00p,Indiana Pacers,100,Los Angeles Clippers,114,Crypto.com Arena,Los Angeles Clippers,,Indiana Pacers,Indiana Pacers,Los Angeles Clippers,Western,Pacific,Eastern,Central,Central,Pacific,Eastern,Western,Sun,4:00:00 PM,16:00:00,D,11/27/22,Indiana PacersLos Angeles Clippers2022-11-27
11/27/22,5:00p,Miami Heat,106,Atlanta Hawks,98,State Farm Arena,Miami Heat,@,Atlanta Hawks,Atlanta Hawks,Miami Heat,Eastern,Southeast,Eastern,Southeast,Southeast,Southeast,Eastern,Eastern,Sun,5:00:00 PM,17:00:00,D,11/27/22,Atlanta HawksMiami Heat2022-11-27
11/27/22,6:00p,Washington Wizards,121,Boston Celtics,130,TD Garden,Boston Celtics,,Washington Wizards,Boston Celtics,Washington Wizards,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Sun,6:00:00 PM,18:00:00,N,11/27/22,Boston CelticsWashington Wizards2022-11-27
11/27/22,6:00p,Cleveland Cavaliers,102,Detroit Pistons,94,Little Caesars Arena,Cleveland Cavaliers,@,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,Eastern,Central,Eastern,Central,Central,Central,Western,Eastern,Sun,6:00:00 PM,18:00:00,N,11/27/22,Cleveland CavaliersDetroit Pistons2022-11-27
11/27/22,6:00p,Memphis Grizzlies,127,New York Knicks,123,Madison Square Garden (IV),Memphis Grizzlies,@,New York Knicks,Memphis Grizzlies,New York Knicks,Eastern,Atlantic,Eastern,Southwest,Southwest,Atlantic,Western,Eastern,Sun,6:00:00 PM,18:00:00,N,11/27/22,Memphis GrizzliesNew York Knicks2022-11-27
11/27/22,6:00p,Philadelphia 76ers,133,Orlando Magic,103,Amway Center,Philadelphia 76ers,@,Orlando Magic,Orlando Magic,Philadelphia 76ers,Eastern,Southeast,Eastern,Atlantic,Southeast,Atlantic,Eastern,Eastern,Sun,6:00:00 PM,18:00:00,N,11/27/22,Orlando MagicPhiladelphia 76ers2022-11-27
11/27/22,8:00p,Dallas Mavericks,115,Milwaukee Bucks,124,Fiserv Forum,Milwaukee Bucks,,Dallas Mavericks,Dallas Mavericks,Milwaukee Bucks,Eastern,Central,Western,Southwest,Southwest,Central,Western,Eastern,Sun,8:00:00 PM,20:00:00,N,11/27/22,Dallas MavericksMilwaukee Bucks2022-11-27
11/28/22,7:00p,Atlanta Hawks,101,Philadelphia 76ers,104,Wells Fargo Center,Philadelphia 76ers,,Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,Eastern,Atlantic,Eastern,Southeast,Southeast,Atlantic,Eastern,Eastern,Mon,7:00:00 PM,19:00:00,N,11/28/22,Atlanta HawksPhiladelphia 76ers2022-11-28
11/28/22,7:00p,Minnesota Timberwolves,127,Washington Wizards,142,Capital One Arena,Washington Wizards,,Minnesota Timberwolves,Minnesota Timberwolves,Washington Wizards,Eastern,Southeast,Western,Northwest,Northwest,Southeast,Western,Eastern,Mon,7:00:00 PM,19:00:00,N,11/28/22,Minnesota TimberwolvesWashington Wizards2022-11-28
11/28/22,7:30p,Charlotte Hornets,105,Boston Celtics,140,TD Garden,Boston Celtics,,Charlotte Hornets,Boston Celtics,Charlotte Hornets,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,11/28/22,Boston CelticsCharlotte Hornets2022-11-28
11/28/22,7:30p,Orlando Magic,102,Brooklyn Nets,109,Barclays Center,Brooklyn Nets,,Orlando Magic,Brooklyn Nets,Orlando Magic,Eastern,Atlantic,Eastern,Southeast,Atlantic,Southeast,Eastern,Eastern,Mon,7:30:00 PM,19:30:00,N,11/28/22,Brooklyn NetsOrlando Magic2022-11-28
11/28/22,7:30p,Cleveland Cavaliers,88,Toronto Raptors,100,Scotiabank Arena,Toronto Raptors,,Cleveland Cavaliers,Cleveland Cavaliers,Toronto Raptors,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,Mon,7:30:00 PM,19:30:00,N,11/28/22,Cleveland CavaliersToronto Raptors2022-11-28
11/28/22,8:00p,Oklahoma City Thunder,101,New Orleans Pelicans,105,Smoothie King Center,New Orleans Pelicans,,Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Western,Southwest,Western,Northwest,Southwest,Northwest,Western,Western,Mon,8:00:00 PM,20:00:00,N,11/28/22,New Orleans PelicansOklahoma City Thunder2022-11-28
11/28/22,9:00p,Houston Rockets,113,Denver Nuggets,129,Ball Arena,Denver Nuggets,,Houston Rockets,Denver Nuggets,Houston Rockets,Western,Northwest,Western,Southwest,Northwest,Southwest,Western,Western,Mon,9:00:00 PM,21:00:00,N,11/28/22,Denver NuggetsHouston Rockets2022-11-28
11/28/22,9:00p,Chicago Bulls,114,Utah Jazz,107,Vivint Arena,Chicago Bulls,@,Utah Jazz,Chicago Bulls,Utah Jazz,Western,Northwest,Western,Central,Central,Northwest,Eastern,Western,Mon,9:00:00 PM,21:00:00,N,11/28/22,Chicago BullsUtah Jazz2022-11-28
11/28/22,10:00p,Phoenix Suns,122,Sacramento Kings,117,Golden 1 Center,Phoenix Suns,@,Sacramento Kings,Phoenix Suns,Sacramento Kings,Western,Pacific,Western,Pacific,Pacific,Pacific,Western,Western,Mon,10:00:00 PM,22:00:00,N,11/28/22,Phoenix SunsSacramento Kings2022-11-28
11/28/22,10:30p,Indiana Pacers,116,Los Angeles Lakers,115,Crypto.com Arena,Indiana Pacers,@,Los Angeles Lakers,Indiana Pacers,Los Angeles Lakers,Western,Pacific,Western,Central,Central,Pacific,Eastern,Western,Mon,10:30:00 PM,22:30:00,N,11/28/22,Indiana PacersLos Angeles Lakers2022-11-28
