,barstool_1_odds,betclic_1_odds,betfair_1_odds,betfred_1_odds,betmgm_1_odds,betonlineag_1_odds,betrivers_1_odds,betsson_1_odds,betus_1_odds,betvictor_1_odds,betway_1_odds,bovada_1_odds,casumo_1_odds,circasports_1_odds,coral_1_odds,draftkings_1_odds,fanduel_1_odds,foxbet_1_odds,gtbets_1_odds,intertops_1_odds,ladbrokes_1_odds,livescorebet_1_odds,lowvig_1_odds,marathonbet_1_odds,matchbook_1_odds,mrgreen_1_odds,mybookieag_1_odds,nordicbet_1_odds,onexbet_1_odds,paddypower_1_odds,pinnacle_1_odds,pointsbetus_1_odds,sport888_1_odds,sugarhouse_1_odds,superbook_1_odds,team_1,twinspires_1_odds,unibet_1_odds,unibet_eu_1_odds,unibet_uk_1_odds,unibet_us_1_odds,virginbet_1_odds,williamhill_1_odds,williamhill_us_1_odds,wynnbet_1_odds,team_1_division,team_1_conference,hour_of_start,day_of_week,home_away_neutral,home_team_division,away_team_division,team_1_division,team_2_division,home_team_conference,away_team_conference,day_night,minutes_since_commence,target,opponent,this_team_division,opponent_team_division,this_team_conference,opponent_team_conference,home_away,average_market_odds_old,highest_bettable_odds,average_market_odds
25,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5.75,0.0,0.0,0.0,0.0,6.5,7.1,0.0,0.0,0.0,0.0,6.5,0.0,6.8,0.0,0.0,0.0,0.0,0.0,6.5,0.0,7.0,6.4,0.0,0.0,Portland Trail Blazers,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,Northwest,Western,16,Sun,,Central,Northwest,Central,Northwest,Eastern,Western,D,-1271.4833333333333,0,Milwaukee Bucks,Northwest,Central,Western,Eastern,0,6.425,7.1,6.425
26,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.32,1.33,0.0,0.0,0.0,0.0,1.31,0.0,1.22,0.0,0.0,1.36,0.0,0.0,1.33,0.0,1.2,1.3,0.0,0.0,Boston Celtics,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,Atlantic,Eastern,19,Sun,,Atlantic,Southeast,Southeast,Atlantic,Eastern,Eastern,N,-1421.4833333333333,1,Atlanta Hawks,Atlantic,Southeast,Eastern,Eastern,1,1.298,1.33,1.2980000000000003
27,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.41,1.34,0.0,0.0,0.0,0.0,1.4,0.0,1.34,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.31,1.33,0.0,0.0,Orlando Magic,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,Southeast,Eastern,19,Sun,,Southeast,Southeast,Southeast,Southeast,Eastern,Eastern,N,-1421.4833333333333,1,Charlotte Hornets,Southeast,Southeast,Eastern,Eastern,1,1.3577777777777778,1.41,1.3577777777777778
28,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,1.42,1.4,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.0,Minnesota Timberwolves,0.0,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,Northwest,Western,19,Sun,,Southwest,Northwest,Southwest,Northwest,Western,Western,N,-1421.4833333333333,0,Memphis Grizzlies,Northwest,Southwest,Western,Western,0,1.4057142857142857,1.42,1.4057142857142857
29,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,2.36,2.3,0.0,0.0,0.0,0.0,2.38,0.0,2.31,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.3,2.25,0.0,0.0,Phoenix Suns,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,Pacific,Western,19,Sun,,Atlantic,Pacific,Atlantic,Pacific,Eastern,Western,N,-1421.4833333333333,0,New York Knicks,Pacific,Atlantic,Western,Eastern,0,2.3088888888888888,2.36,2.3088888888888888
30,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,2.2,2.26,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,2.25,0.0,0.0,2.2,0.0,0.0,2.2,0.0,0.0,Chicago Bulls,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,Central,Eastern,20,Sun,,Atlantic,Central,Atlantic,Central,Eastern,Eastern,N,-1511.4833333333333,0,Brooklyn Nets,Central,Atlantic,Eastern,Eastern,0,2.2074999999999996,2.26,2.2075
32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,6.0,6.2,0.0,0.0,0.0,0.0,6.0,0.0,6.35,0.0,0.0,5.5,0.0,0.0,6.0,0.0,7.0,6.1,0.0,0.0,San Antonio Spurs,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Southwest,Western,21,Sun,,Northwest,Southwest,Northwest,Southwest,Western,Western,N,-1541.4833333333333,0,Denver Nuggets,Southwest,Northwest,Western,Western,0,6.075,7.0,6.075
33,2.36,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,0.0,0.0,0.0,2.43,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York Knicks,0.0,0.0,2.43,2.43,2.43,2.3,0.0,0.0,0.0,Atlantic,Eastern,13,Mon,,Atlantic,Central,Central,Atlantic,Eastern,Eastern,D,-42821.48333333333,1,Milwaukee Bucks,Atlantic,Central,Eastern,Eastern,1,2.39875,2.43,2.39875
34,2.7,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,2.7,0.0,2.65,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Golden State Warriors,0.0,0.0,2.65,2.65,2.65,2.62,0.0,0.0,0.0,Pacific,Western,15,Mon,,Northwest,Pacific,Northwest,Pacific,Western,Western,D,-42971.48333333333,0,Denver Nuggets,Pacific,Northwest,Western,Western,0,2.6633333333333327,2.7,2.663333333333333
35,2.05,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,1.95,2.0,0.0,2.02,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles Lakers,0.0,0.0,2.02,2.02,2.02,2.0,0.0,0.0,0.0,Pacific,Western,18,Mon,,Pacific,Atlantic,Atlantic,Pacific,Western,Eastern,D,-43121.48333333333,1,Boston Celtics,Pacific,Atlantic,Western,Eastern,1,2.0149999999999997,2.05,2.0149999999999997
36,2.05,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,1.98,2.0,0.0,2.07,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia 76ers,0.0,0.0,2.07,2.07,2.07,2.0,0.0,0.0,0.0,Atlantic,Eastern,21,Mon,,Southeast,Atlantic,Southeast,Atlantic,Eastern,Eastern,N,-43301.48333333333,0,Miami Heat,Atlantic,Southeast,Eastern,Eastern,0,2.043,2.07,2.0429999999999997
37,1.49,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.44,1.5,0.0,1.5,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,Phoenix Suns,0.0,0.0,1.5,1.5,1.5,1.44,0.0,0.0,0.0,Pacific,Western,23,Mon,,Pacific,Southwest,Southwest,Pacific,Western,Western,N,-43451.48333333333,1,Dallas Mavericks,Pacific,Southwest,Western,Western,1,1.4836363636363636,1.5,1.4836363636363636
