game_id,ev,team,odds,sportsbook,game_date,time_updated,user_name,average_market_odds,bet_amount,bet_profit
f76ffba4729c2c7f48d0454780f11516,15.05,Colorado Rockiesv. Los Angeles Dodgers,1000,['Betmgm'],"Sat, Aug 12, 2023 at 06:00 PM MDT",59 min 3 sec,youngfeiler,1.1821428571428572,7.0,70.0
4bb8e282f3431e53e7fe6b4d21947a5a,11.95,San Francisco Giantsv. Texas Rangers,-150,['Twinspires'],"Sat, Aug 12, 2023, 06:00 PM MDT",29 sec,micah,1.5275000000000003,50.0,33.333333333333336
4bb8e282f3431e53e7fe6b4d21947a5a,15.21,San Francisco Giantsv. Texas Rangers,-150,['Draftkings'],"Sat, Aug 12, 2023 at 06:00 PM MDT",7 sec,youngfeiler,1.4668750000000002,35.0,23.33333333333333
4bb8e282f3431e53e7fe6b4d21947a5a,10.18,San Francisco Giantsv. Texas Rangers,-120,['Betmgm'],"Sat, Aug 12, 2023 at 06:00 PM MDT",12 sec,youngfeiler,1.6337499999999998,20.0,16.666666666666668
4bb8e282f3431e53e7fe6b4d21947a5a,95.22,San Francisco Giantsv. Texas Rangers,650,['Betmgm'],"Sat, Aug 12, 2023 at 06:00 PM MDT",6 sec,youngfeiler,3.841875,22.0,143.0
840b5298d93a9b5ab4cb31365073920f,48.61,Baltimore Oriolesv. Seattle Mariners,100,['Pointsbetus'],"Sat, Aug 12, 2023, 06:00 PM MDT",9 min 5 sec,micah,2.01875,72.91,72.91
840b5298d93a9b5ab4cb31365073920f,48.61,Baltimore Oriolesv. Seattle Mariners,100,['Draftkings'],"Sat, Aug 12, 2023 at 06:00 PM MDT",11 min 57 sec,youngfeiler,2.01875,35.0,35.0
a2d594e3bb8b6200f675e0f4e423aeeb,10.36,Miami Marlinsv. Houston Astros,150,['Betmgm'],"Sun, Aug 13, 2023, 06:00 PM MDT",38 sec,youngfeiler,2.265238095238096,15.0,22.5
a2d594e3bb8b6200f675e0f4e423aeeb,13.5,Miami Marlinsv. Houston Astros,180,['Betmgm'],"Sun, Aug 13, 2023, 06:00 PM MDT",5 sec,youngfeiler,2.334736842105263,17.0,30.6
a2d594e3bb8b6200f675e0f4e423aeeb,36.04,Houston Astrosv. Miami Marlins,180,['Barstool'],"Sun, Aug 13, 2023, 06:00 PM MDT",4 sec,micah,1.9847368421052631,30.0,54.0
a2d594e3bb8b6200f675e0f4e423aeeb,36.04,Houston Astrosv. Miami Marlins,180,['Draftkings'],"Sun, Aug 13, 2023, 06:00 PM MDT",3 sec,youngfeiler,1.9847368421052631,45.0,81.0
a2d594e3bb8b6200f675e0f4e423aeeb,12.41,Houston Astrosv. Miami Marlins,250,['Betmgm'],"Sun, Aug 13, 2023, 06:00 PM MDT",4 sec,youngfeiler,3.113684210526316,10.0,25.0
a2d594e3bb8b6200f675e0f4e423aeeb,10.07,Houston Astrosv. Miami Marlins,285,['Bovada'],"Sun, Aug 13, 2023, 06:00 PM MDT",44 sec,youngfeiler,3.4978947368421056,8.0,22.8
8a250718f528c8f70f1a1cb91406e533,10.44,New York Yankeesv. Atlanta Braves,185,['Pointsbetus'],"Sun, Aug 13, 2023, 06:00 PM MDT",18 sec,micah,2.5805263157894744,10.0,18.5
8a250718f528c8f70f1a1cb91406e533,10.44,New York Yankeesv. Atlanta Braves,175,['Bovada'],"Sun, Aug 13, 2023, 06:00 PM MDT",20 sec,youngfeiler,2.5805263157894744,10.0,17.5
8a250718f528c8f70f1a1cb91406e533,15.09,Atlanta Bravesv. New York Yankees,-130,['Draftkings'],"Sun, Aug 13, 2023, 06:00 PM MDT",34 sec,youngfeiler,1.4857894736842103,46.0,35.38461538461539
8a250718f528c8f70f1a1cb91406e533,15.09,Atlanta Bravesv. New York Yankees,-140,['Draftkings'],"Sun, Aug 13, 2023, 06:00 PM MDT",57 sec,micah,1.4857894736842103,30.0,21.42857142857143
a2d594e3bb8b6200f675e0f4e423aeeb,10.3,Houston Astrosv. Miami Marlins,290,['Betmgm'],"Sun, Aug 13, 2023, 06:00 PM MDT",23 sec,youngfeiler,3.53578947368421,7.0,20.3
b90652aaf50a2c9b58f6450116b2cc27,12.51,Pittsburgh Piratesv. New York Mets,210,['Bovada'],"Sun, Aug 13, 2023, 06:00 PM MDT",0 sec,youngfeiler,2.622105263157895,13.0,27.3
8a250718f528c8f70f1a1cb91406e533,10.17,New York Yankeesv. Atlanta Braves,155,['Betmgm'],"Sun, Aug 13, 2023, 06:00 PM MDT",45 sec,youngfeiler,2.17842105263158,15.0,23.25
a2d594e3bb8b6200f675e0f4e423aeeb,20.2,Houston Astrosv. Miami Marlins,320,['Pointsbetus'],"Sun, Aug 13, 2023, 06:00 PM MDT",4 sec,youngfeiler,3.4110526315789467,13.0,41.6
