game_id,sport_title,commence_time,home_team,away_team,home_team_score,away_team_score,winning_team
a21db19a068b9de7b63cd1d45c542cb9,MLB,2023-07-25T22:41:58Z,Detroit Tigers,Los Angeles Angels,6.0,7.0,Los Angeles Angels
16de84a36b428daadd571af4fb2d26ea,MLB,2023-07-25T23:05:00Z,New York Yankees,New York Mets,3.0,9.0,New York Mets
6f550b6ecf8ceafb70986a132f1e517d,MLB,2023-07-25T23:10:00Z,Cleveland Guardians,Kansas City Royals,5.0,1.0,Cleveland Guardians
28e1efd576108ebf9acadf8d548c6f7b,MLB,2023-07-25T23:41:22Z,Minnesota Twins,Seattle Mariners,7.0,9.0,Seattle Mariners
c8c3e69af3a4f1a7893484ec764c567b,MLB,2023-07-26T00:09:58Z,Houston Astros,Texas Rangers,4.0,3.0,Houston Astros
c9487512ccf3f2018d4dc839f65f7698,MLB,2023-07-26T00:10:00Z,Chicago White Sox,Chicago Cubs,3.0,7.0,Chicago Cubs
2c527ead41fb64064fba8e7b0e926157,MLB,2023-07-26T00:10:46Z,Milwaukee Brewers,Cincinnati Reds,3.0,4.0,Cincinnati Reds
912569d2d08d5ac38fc4442341aec170,MLB,2023-07-26T00:30:00Z,Washington Nationals,Colorado Rockies,6.0,5.0,Washington Nationals
ab4419d86a8d80c6bd4078c6dd52c67f,MLB,2023-07-26T00:50:00Z,Boston Red Sox,Atlanta Braves,7.0,1.0,Boston Red Sox
d2d270959e673e9df2ae0d249ebcb5e5,MLB,2023-07-26T01:40:00Z,Arizona Diamondbacks,St. Louis Cardinals,3.0,1.0,Arizona Diamondbacks
814115c66feea1646a7e476b337b1cee,MLB,2023-07-26T01:40:00Z,San Diego Padres,Pittsburgh Pirates,5.0,1.0,San Diego Padres
e9a3ed3d483d0d86e5bd2c20c58dddf0,MLB,2023-07-26T01:45:00Z,San Francisco Giants,Oakland Athletics,2.0,1.0,San Francisco Giants
f399477d2b7f5510b82785c02b2fcad4,MLB,2023-07-26T02:10:09Z,Los Angeles Dodgers,Toronto Blue Jays,8.0,7.0,Los Angeles Dodgers
96d47d41251c8e6991fe067926d156bf,MLB,2023-07-26T16:04:30Z,Washington Nationals,Colorado Rockies,5.0,4.0,Washington Nationals
928d216ad34dc0eea0c54425d8bd5eea,MLB,2023-07-26T16:09:00Z,Tampa Bay Rays,Miami Marlins,1.0,7.0,Miami Marlins
d84e8a2218b10737e16c22820555d118,MLB,2023-07-26T17:10:00Z,Cleveland Guardians,Kansas City Royals,8.0,3.0,Cleveland Guardians
f6a9c25fe8e1d7cc9cafbf6cebeaa890,MLB,2023-07-26T17:10:00Z,Minnesota Twins,Seattle Mariners,7.0,8.0,Seattle Mariners
1534b66e34fd0f5c6c74bd333e6f692e,MLB,2023-07-26T18:10:00Z,Milwaukee Brewers,Cincinnati Reds,3.0,0.0,Milwaukee Brewers
8ab5e3b027cad19aef74c4886941ad1b,MLB,2023-07-26T20:10:00Z,San Diego Padres,Pittsburgh Pirates,2.0,3.0,Pittsburgh Pirates
00e4da03bc921a0f794a262c97121dd6,MLB,2023-07-26T19:40:00Z,Arizona Diamondbacks,St. Louis Cardinals,7.0,11.0,St. Louis Cardinals
5a7c2c79a0dcbb062e16b1a7108c8bf9,MLB,2023-07-26T20:10:00Z,Los Angeles Dodgers,Toronto Blue Jays,1.0,8.0,Toronto Blue Jays
,,,,,,,
9e75900bbef78e4504359c38ffd86790,MLB,2023-07-26T22:05:00Z,Philadelphia Phillies,Baltimore Orioles,6.0,4.0,Philadelphia Phillies
026ed6cf4328658820641a04821d3a8c,MLB,2023-07-26T23:05:00Z,New York Yankees,New York Mets,3.0,1.0,New York Yankees
1b8414cf377d4a5c4ea7801ef70785fa,MLB,2023-07-26T23:10:00Z,Boston Red Sox,Atlanta Braves,5.0,3.0,Boston Red Sox
cc896f81bc4ef9f8d1984ff888189b02,MLB,2023-07-27T00:12:06Z,Houston Astros,Texas Rangers,5.0,13.0,Texas Rangers
ce248a438e06273b050332289f7dae4d,MLB,2023-07-27T00:10:00Z,Chicago White Sox,Chicago Cubs,7.0,10.0,Chicago Cubs
33e0facf8836d3fdab287cd33319cee4,MLB,2023-07-27T01:45:00Z,San Francisco Giants,Oakland Athletics,8.0,3.0,San Francisco Giants
c2320752ab18ee4198283c369edb7c7b,MLB,2023-07-27T17:10:00Z,Detroit Tigers,Los Angeles Angels,0.0,6.0,Los Angeles Angels
ac0dc8336c9a53e2ecc549c502219503,MLB,2023-07-27T20:11:07Z,Detroit Tigers,Los Angeles Angels,4.0,11.0,Los Angeles Angels
fccfbbd33940689be89a2df6afbd4d76,MLB,2023-07-27T23:44:29Z,St. Louis Cardinals,Chicago Cubs,3.0,10.0,Chicago Cubs
f19265de234751b5568f360a73e8cf2b,MLB,2023-07-28T00:09:35Z,Chicago White Sox,Cleveland Guardians,3.0,6.0,Cleveland Guardians
3e0a8f8d9c7637959d940087782869e0,MLB,2023-07-27T23:09:32Z,New York Mets,Washington Nationals,2.0,1.0,New York Mets
cd096479baf590bf06b8be1ab71fde12,MLB,2023-07-28T22:40:36Z,Miami Marlins,Detroit Tigers,6.0,5.0,Miami Marlins
3febf7d25dce6dfa9c5895196619d3b2,MLB,2023-07-28T23:06:28Z,Pittsburgh Pirates,Philadelphia Phillies,1.0,2.0,Philadelphia Phillies
ff22dc15005b9537ce8bc559af1e6160,MLB,2023-07-28T23:07:00Z,Toronto Blue Jays,Los Angeles Angels,4.0,1.0,Toronto Blue Jays
7f68b755f935e9936e377412d47d38fc,MLB,2023-07-28T23:10:00Z,Chicago White Sox,Cleveland Guardians,3.0,0.0,Chicago White Sox
1dd7030e208544da1db060bddc9a5ad0,MLB,2023-07-28T23:10:00Z,New York Mets,Washington Nationals,5.0,1.0,New York Mets
45fda81753cf11003b59ca4cb659fefa,MLB,2023-07-28T23:50:00Z,Atlanta Braves,Milwaukee Brewers,10.0,7.0,Atlanta Braves
398e43d770013dc293272e015d3e5dd6,MLB,2023-07-29T00:10:00Z,Houston Astros,Tampa Bay Rays,3.0,4.0,Tampa Bay Rays
4c715a0cf75c6b68c261d9a2e7594a0b,MLB,2023-07-29T00:10:00Z,Kansas City Royals,Minnesota Twins,8.0,5.0,Kansas City Royals
9b986e74d3183c1c19ef98fc74066654,MLB,2023-07-29T00:15:00Z,St. Louis Cardinals,Chicago Cubs,2.0,3.0,Chicago Cubs
128464c0e9b4d35f2e1d9b9089de261a,MLB,2023-07-29T00:40:11Z,Colorado Rockies,Oakland Athletics,5.0,8.0,Oakland Athletics
82215ad32822c16515bc36c80d40f19c,MLB,2023-07-29T01:35:00Z,Baltimore Orioles,New York Yankees,1.0,0.0,Baltimore Orioles
91ee1fc21279681e892c15f9f52db33d,MLB,2023-07-29T01:40:00Z,Arizona Diamondbacks,Seattle Mariners,2.0,5.0,Seattle Mariners
6b530bb0edb029a38c13ae05919da146,MLB,2023-07-29T02:01:31Z,San Diego Padres,Texas Rangers,7.0,1.0,San Diego Padres
cb3b4f7de9492a1f6ad0cd527ff336c1,MLB,2023-07-29T02:09:52Z,Los Angeles Dodgers,Cincinnati Reds,5.0,6.0,Cincinnati Reds
35d25893a393e3dc984e6bea8507e42d,MLB,2023-07-29T02:15:00Z,San Francisco Giants,Boston Red Sox,2.0,3.0,Boston Red Sox
7ececb34ab7c305b68540b2cde36e768,MLB,2023-07-29T19:07:00Z,Toronto Blue Jays,Los Angeles Angels,6.0,1.0,Toronto Blue Jays
f6eb9dfd90d0640c2a9761bbd56fad12,MLB,2023-07-29T20:10:00Z,Miami Marlins,Detroit Tigers,0.0,5.0,Detroit Tigers
5f72566bdaa4e502c9b22549737206ab,MLB,2023-07-29T23:05:00Z,Pittsburgh Pirates,Philadelphia Phillies,7.0,6.0,Pittsburgh Pirates
49118563a0bc1997eeb916a67f1120d5,MLB,2023-07-29T23:10:00Z,Chicago White Sox,Cleveland Guardians,7.0,2.0,Chicago White Sox
5b21eeb36eed54efa947113cc2e2d8bc,MLB,2023-07-29T23:10:00Z,Kansas City Royals,Minnesota Twins,10.0,7.0,Kansas City Royals
4a0a3d13482e061771694bbb7d5264d1,MLB,2023-07-29T23:15:00Z,Baltimore Orioles,New York Yankees,3.0,8.0,New York Yankees
19dc032dcaf4e5a2f542924e9eebefb6,MLB,2023-07-29T23:15:00Z,San Francisco Giants,Boston Red Sox,3.0,2.0,San Francisco Giants
85ff2c4b9b72afa457c8abf47b133067,MLB,2023-07-29T23:15:56Z,Houston Astros,Tampa Bay Rays,17.0,4.0,Houston Astros
813178ab3a34c8ff59a2fbdea8d2297d,MLB,2023-07-29T23:20:00Z,Atlanta Braves,Milwaukee Brewers,11.0,5.0,Atlanta Braves
69607cff3b96edab50d26ebe454c7459,MLB,2023-07-30T00:09:53Z,Arizona Diamondbacks,Seattle Mariners,4.0,3.0,Arizona Diamondbacks
4298f638226722f6473dea754fd1f007,MLB,2023-07-30T00:10:28Z,Colorado Rockies,Oakland Athletics,3.0,11.0,Oakland Athletics
28cd6e25bd52302a2274ecaffd05740c,MLB,2023-07-30T00:30:00Z,New York Mets,Washington Nationals,6.0,11.0,Washington Nationals
39c60aad0395729a3a6be2d361c028b9,MLB,2023-07-30T00:40:00Z,San Diego Padres,Texas Rangers,4.0,0.0,San Diego Padres
