date,away_team,PTS,home_team,PTS.1,winning_team,home_away_neutral,losing_team,team_1,team_2,home_team_conference,home_team_division,away_team_conference,away_team_division,team_1_division,team_2_division,team_1_conference,team_2_conference,day_of_week,time,compare_time,day_night,commence_date,my_game_id
1/11/2023,Edmonton Oilers,6,Anaheim Ducks,2,Edmonton Oilers,@,Anaheim Ducks,Anaheim Ducks,Edmonton Oilers,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/11/2023,San Jose Sharks,3,Los Angeles Kings,4,Los Angeles Kings,,San Jose Sharks,Los Angeles Kings,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/11/2023,Washington Capitals,3,Philadelphia Flyers,5,Philadelphia Flyers,,Washington Capitals,Philadelphia Flyers,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/11/2023,Nashville Predators,1,Toronto Maple Leafs,2,Toronto Maple Leafs,,Nashville Predators,Nashville Predators,Toronto Maple Leafs,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/12/2023,Ottawa Senators,5,Arizona Coyotes,3,Ottawa Senators,@,Arizona Coyotes,Arizona Coyotes,Ottawa Senators,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/12/2023,Seattle Kraken,3,Boston Bruins,0,Seattle Kraken,@,Boston Bruins,Boston Bruins,Seattle Kraken,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/12/2023,Winnipeg Jets,4,Buffalo Sabres,2,Winnipeg Jets,@,Buffalo Sabres,Buffalo Sabres,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/12/2023,Carolina Hurricanes,6,Columbus Blue Jackets,2,Carolina Hurricanes,@,Columbus Blue Jackets,Carolina Hurricanes,Columbus Blue Jackets,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/12/2023,Colorado Avalanche,2,Chicago Blackhawks,3,Chicago Blackhawks,,Colorado Avalanche,Chicago Blackhawks,Colorado Avalanche,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/12/2023,Toronto Maple Leafs,1,Detroit Red Wings,4,Detroit Red Wings,,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/12/2023,Nashville Predators,3,Montreal Canadiens,4,Montreal Canadiens,,Nashville Predators,Montreal Canadiens,Nashville Predators,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/12/2023,Minnesota Wild,3,New York Islanders,1,Minnesota Wild,@,New York Islanders,Minnesota Wild,New York Islanders,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/12/2023,Dallas Stars,1,New York Rangers,2,New York Rangers,,Dallas Stars,Dallas Stars,New York Rangers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/12/2023,Calgary Flames,4,St. Louis Blues,1,Calgary Flames,@,St. Louis Blues,Calgary Flames,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/12/2023,Vancouver Canucks,4,Tampa Bay Lightning,5,Tampa Bay Lightning,,Vancouver Canucks,Tampa Bay Lightning,Vancouver Canucks,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/12/2023,Florida Panthers,2,Vegas Golden Knights,4,Vegas Golden Knights,,Florida Panthers,Florida Panthers,Vegas Golden Knights,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/13/2023,New Jersey Devils,6,Anaheim Ducks,2,New Jersey Devils,@,Anaheim Ducks,Anaheim Ducks,New Jersey Devils,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/13/2023,Winnipeg Jets,4,Pittsburgh Penguins,1,Winnipeg Jets,@,Pittsburgh Penguins,Pittsburgh Penguins,Winnipeg Jets,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/13/2023,Edmonton Oilers,7,San Jose Sharks,1,Edmonton Oilers,@,San Jose Sharks,Edmonton Oilers,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2023,Toronto Maple Leafs,3,Boston Bruins,4,Boston Bruins,,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/14/2023,Pittsburgh Penguins,1,Carolina Hurricanes,2,Carolina Hurricanes,,Pittsburgh Penguins,Carolina Hurricanes,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/14/2023,Seattle Kraken,8,Chicago Blackhawks,5,Seattle Kraken,@,Chicago Blackhawks,Chicago Blackhawks,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2023,Ottawa Senators,0,Colorado Avalanche,7,Colorado Avalanche,,Ottawa Senators,Colorado Avalanche,Ottawa Senators,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/14/2023,Calgary Flames,6,Dallas Stars,5,Calgary Flames,@,Dallas Stars,Calgary Flames,Dallas Stars,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2023,Columbus Blue Jackets,4,Detroit Red Wings,3,Columbus Blue Jackets,@,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/14/2023,Vancouver Canucks,3,Florida Panthers,4,Florida Panthers,,Vancouver Canucks,Florida Panthers,Vancouver Canucks,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/14/2023,New Jersey Devils,5,Los Angeles Kings,2,New Jersey Devils,@,Los Angeles Kings,Los Angeles Kings,New Jersey Devils,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/14/2023,Arizona Coyotes,1,Minnesota Wild,2,Minnesota Wild,,Arizona Coyotes,Arizona Coyotes,Minnesota Wild,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2023,Buffalo Sabres,5,Nashville Predators,3,Buffalo Sabres,@,Nashville Predators,Buffalo Sabres,Nashville Predators,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/14/2023,Montreal Canadiens,1,New York Islanders,2,New York Islanders,,Montreal Canadiens,Montreal Canadiens,New York Islanders,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/14/2023,Tampa Bay Lightning,4,St. Louis Blues,2,Tampa Bay Lightning,@,St. Louis Blues,St. Louis Blues,Tampa Bay Lightning,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/14/2023,Edmonton Oilers,4,Vegas Golden Knights,3,Edmonton Oilers,@,Vegas Golden Knights,Edmonton Oilers,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/14/2023,Philadelphia Flyers,3,Washington Capitals,1,Philadelphia Flyers,@,Washington Capitals,Philadelphia Flyers,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/15/2023,Vancouver Canucks,4,Carolina Hurricanes,3,Vancouver Canucks,@,Carolina Hurricanes,Carolina Hurricanes,Vancouver Canucks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/15/2023,Montreal Canadiens,2,New York Rangers,1,Montreal Canadiens,@,New York Rangers,Montreal Canadiens,New York Rangers,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/15/2023,Arizona Coyotes,1,Winnipeg Jets,2,Winnipeg Jets,,Arizona Coyotes,Arizona Coyotes,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/16/2023,Philadelphia Flyers,0,Boston Bruins,6,Boston Bruins,,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/16/2023,Florida Panthers,4,Buffalo Sabres,1,Florida Panthers,@,Buffalo Sabres,Buffalo Sabres,Florida Panthers,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/16/2023,New York Rangers,3,Columbus Blue Jackets,1,New York Rangers,@,Columbus Blue Jackets,Columbus Blue Jackets,New York Rangers,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/16/2023,Detroit Red Wings,3,Colorado Avalanche,6,Colorado Avalanche,,Detroit Red Wings,Colorado Avalanche,Detroit Red Wings,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/16/2023,Calgary Flames,1,Nashville Predators,2,Nashville Predators,,Calgary Flames,Calgary Flames,Nashville Predators,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/16/2023,Washington Capitals,4,New York Islanders,3,Washington Capitals,@,New York Islanders,New York Islanders,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/16/2023,Anaheim Ducks,3,Pittsburgh Penguins,4,Pittsburgh Penguins,,Anaheim Ducks,Anaheim Ducks,Pittsburgh Penguins,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/16/2023,Tampa Bay Lightning,4,Seattle Kraken,1,Tampa Bay Lightning,@,Seattle Kraken,Seattle Kraken,Tampa Bay Lightning,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/16/2023,New Jersey Devils,4,San Jose Sharks,3,New Jersey Devils,@,San Jose Sharks,New Jersey Devils,San Jose Sharks,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/16/2023,Ottawa Senators,1,St. Louis Blues,2,St. Louis Blues,,Ottawa Senators,Ottawa Senators,St. Louis Blues,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/16/2023,Dallas Stars,4,Vegas Golden Knights,0,Dallas Stars,@,Vegas Golden Knights,Dallas Stars,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/17/2023,Detroit Red Wings,3,Arizona Coyotes,4,Arizona Coyotes,,Detroit Red Wings,Arizona Coyotes,Detroit Red Wings,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/17/2023,Buffalo Sabres,3,Chicago Blackhawks,4,Chicago Blackhawks,,Buffalo Sabres,Buffalo Sabres,Chicago Blackhawks,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/17/2023,Seattle Kraken,2,Edmonton Oilers,5,Edmonton Oilers,,Seattle Kraken,Edmonton Oilers,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/17/2023,Winnipeg Jets,1,Montreal Canadiens,4,Montreal Canadiens,,Winnipeg Jets,Montreal Canadiens,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/17/2023,Columbus Blue Jackets,1,Nashville Predators,2,Nashville Predators,,Columbus Blue Jackets,Columbus Blue Jackets,Nashville Predators,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/17/2023,Anaheim Ducks,2,Philadelphia Flyers,5,Philadelphia Flyers,,Anaheim Ducks,Anaheim Ducks,Philadelphia Flyers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/17/2023,Florida Panthers,4,Toronto Maple Leafs,5,Toronto Maple Leafs,,Florida Panthers,Florida Panthers,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/17/2023,Minnesota Wild,4,Washington Capitals,2,Minnesota Wild,@,Washington Capitals,Minnesota Wild,Washington Capitals,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/18/2023,Colorado Avalanche,4,Calgary Flames,1,Colorado Avalanche,@,Calgary Flames,Calgary Flames,Colorado Avalanche,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/18/2023,Boston Bruins,4,New York Islanders,1,Boston Bruins,@,New York Islanders,Boston Bruins,New York Islanders,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/18/2023,Pittsburgh Penguins,4,Ottawa Senators,5,Ottawa Senators,,Pittsburgh Penguins,Ottawa Senators,Pittsburgh Penguins,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/18/2023,Dallas Stars,3,San Jose Sharks,5,San Jose Sharks,,Dallas Stars,Dallas Stars,San Jose Sharks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/18/2023,Tampa Bay Lightning,5,Vancouver Canucks,2,Tampa Bay Lightning,@,Vancouver Canucks,Tampa Bay Lightning,Vancouver Canucks,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/19/2023,Washington Capitals,4,Arizona Coyotes,0,Washington Capitals,@,Arizona Coyotes,Arizona Coyotes,Washington Capitals,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/19/2023,New York Islanders,2,Buffalo Sabres,3,Buffalo Sabres,,New York Islanders,Buffalo Sabres,New York Islanders,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/19/2023,Minnesota Wild,2,Carolina Hurricanes,5,Carolina Hurricanes,,Minnesota Wild,Carolina Hurricanes,Minnesota Wild,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/19/2023,Anaheim Ducks,5,Columbus Blue Jackets,3,Anaheim Ducks,@,Columbus Blue Jackets,Anaheim Ducks,Columbus Blue Jackets,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/19/2023,Tampa Bay Lightning,3,Edmonton Oilers,5,Edmonton Oilers,,Tampa Bay Lightning,Edmonton Oilers,Tampa Bay Lightning,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/19/2023,Dallas Stars,4,Los Angeles Kings,0,Dallas Stars,@,Los Angeles Kings,Dallas Stars,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/19/2023,Florida Panthers,6,Montreal Canadiens,2,Florida Panthers,@,Montreal Canadiens,Florida Panthers,Montreal Canadiens,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/19/2023,Boston Bruins,3,New York Rangers,1,Boston Bruins,@,New York Rangers,Boston Bruins,New York Rangers,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/19/2023,Chicago Blackhawks,4,Philadelphia Flyers,1,Chicago Blackhawks,@,Philadelphia Flyers,Chicago Blackhawks,Philadelphia Flyers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/19/2023,New Jersey Devils,3,Seattle Kraken,4,Seattle Kraken,,New Jersey Devils,New Jersey Devils,Seattle Kraken,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/19/2023,Nashville Predators,2,St. Louis Blues,5,St. Louis Blues,,Nashville Predators,Nashville Predators,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/19/2023,Winnipeg Jets,1,Toronto Maple Leafs,4,Toronto Maple Leafs,,Winnipeg Jets,Toronto Maple Leafs,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/19/2023,Detroit Red Wings,3,Vegas Golden Knights,2,Detroit Red Wings,@,Vegas Golden Knights,Detroit Red Wings,Vegas Golden Knights,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/20/2023,Ottawa Senators,1,Pittsburgh Penguins,4,Pittsburgh Penguins,,Ottawa Senators,Ottawa Senators,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/20/2023,Colorado Avalanche,4,Vancouver Canucks,1,Colorado Avalanche,@,Vancouver Canucks,Colorado Avalanche,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Anaheim Ducks,3,Buffalo Sabres,6,Buffalo Sabres,,Anaheim Ducks,Anaheim Ducks,Buffalo Sabres,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/21/2023,San Jose Sharks,3,Columbus Blue Jackets,5,Columbus Blue Jackets,,San Jose Sharks,Columbus Blue Jackets,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/21/2023,Tampa Bay Lightning,3,Calgary Flames,6,Calgary Flames,,Tampa Bay Lightning,Calgary Flames,Tampa Bay Lightning,Western,Central,Eastern,Atlantic,Central,Atlantic,Western,Eastern,,,,,,
1/21/2023,Arizona Coyotes,0,Dallas Stars,4,Dallas Stars,,Arizona Coyotes,Arizona Coyotes,Dallas Stars,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Philadelphia Flyers,2,Detroit Red Wings,1,Philadelphia Flyers,@,Detroit Red Wings,Detroit Red Wings,Philadelphia Flyers,Eastern,Atlantic,Eastern,Metropolitan,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/21/2023,Minnesota Wild,3,Florida Panthers,5,Florida Panthers,,Minnesota Wild,Florida Panthers,Minnesota Wild,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/21/2023,Toronto Maple Leafs,2,Montreal Canadiens,3,Montreal Canadiens,,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/21/2023,Los Angeles Kings,3,Nashville Predators,5,Nashville Predators,,Los Angeles Kings,Los Angeles Kings,Nashville Predators,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Carolina Hurricanes,5,New York Islanders,2,Carolina Hurricanes,@,New York Islanders,Carolina Hurricanes,New York Islanders,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/21/2023,Winnipeg Jets,5,Ottawa Senators,1,Winnipeg Jets,@,Ottawa Senators,Ottawa Senators,Winnipeg Jets,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/21/2023,Colorado Avalanche,2,Seattle Kraken,1,Colorado Avalanche,@,Seattle Kraken,Colorado Avalanche,Seattle Kraken,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Chicago Blackhawks,5,St. Louis Blues,3,Chicago Blackhawks,@,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Edmonton Oilers,4,Vancouver Canucks,2,Edmonton Oilers,@,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/21/2023,Washington Capitals,2,Vegas Golden Knights,6,Vegas Golden Knights,,Washington Capitals,Vegas Golden Knights,Washington Capitals,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/22/2023,Vegas Golden Knights,1,Arizona Coyotes,4,Arizona Coyotes,,Vegas Golden Knights,Arizona Coyotes,Vegas Golden Knights,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/22/2023,San Jose Sharks,0,Boston Bruins,4,Boston Bruins,,San Jose Sharks,Boston Bruins,San Jose Sharks,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/22/2023,Los Angeles Kings,2,Chicago Blackhawks,1,Los Angeles Kings,@,Chicago Blackhawks,Chicago Blackhawks,Los Angeles Kings,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/22/2023,Pittsburgh Penguins,1,New Jersey Devils,2,New Jersey Devils,,Pittsburgh Penguins,New Jersey Devils,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/22/2023,Winnipeg Jets,5,Philadelphia Flyers,3,Winnipeg Jets,@,Philadelphia Flyers,Philadelphia Flyers,Winnipeg Jets,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/23/2023,Columbus Blue Jackets,3,Calgary Flames,4,Calgary Flames,,Columbus Blue Jackets,Calgary Flames,Columbus Blue Jackets,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/23/2023,Buffalo Sabres,3,Dallas Stars,2,Buffalo Sabres,@,Dallas Stars,Buffalo Sabres,Dallas Stars,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/23/2023,Florida Panthers,2,New York Rangers,6,New York Rangers,,Florida Panthers,Florida Panthers,New York Rangers,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/23/2023,New York Islanders,2,Toronto Maple Leafs,5,Toronto Maple Leafs,,New York Islanders,New York Islanders,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/24/2023,Anaheim Ducks,5,Arizona Coyotes,2,Anaheim Ducks,@,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/24/2023,Washington Capitals,2,Colorado Avalanche,3,Colorado Avalanche,,Washington Capitals,Colorado Avalanche,Washington Capitals,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/24/2023,San Jose Sharks,2,Detroit Red Wings,3,Detroit Red Wings,,San Jose Sharks,Detroit Red Wings,San Jose Sharks,Eastern,Atlantic,Western,Central,Atlantic,Central,Eastern,Western,,,,,,
1/24/2023,Boston Bruins,4,Montreal Canadiens,2,Boston Bruins,@,Montreal Canadiens,Boston Bruins,Montreal Canadiens,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/24/2023,Vegas Golden Knights,2,New Jersey Devils,3,New Jersey Devils,,Vegas Golden Knights,New Jersey Devils,Vegas Golden Knights,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
1/24/2023,Winnipeg Jets,1,Nashville Predators,2,Nashville Predators,,Winnipeg Jets,Nashville Predators,Winnipeg Jets,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/24/2023,Los Angeles Kings,4,Philadelphia Flyers,3,Los Angeles Kings,@,Philadelphia Flyers,Los Angeles Kings,Philadelphia Flyers,Eastern,Metropolitan,Western,Central,Central,Metropolitan,Western,Eastern,,,,,,
1/24/2023,Florida Panthers,6,Pittsburgh Penguins,7,Pittsburgh Penguins,,Florida Panthers,Florida Panthers,Pittsburgh Penguins,Eastern,Metropolitan,Eastern,Atlantic,Atlantic,Metropolitan,Eastern,Eastern,,,,,,
1/24/2023,Buffalo Sabres,5,St. Louis Blues,3,Buffalo Sabres,@,St. Louis Blues,Buffalo Sabres,St. Louis Blues,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/24/2023,Minnesota Wild,2,Tampa Bay Lightning,4,Tampa Bay Lightning,,Minnesota Wild,Minnesota Wild,Tampa Bay Lightning,Eastern,Atlantic,Western,Central,Central,Atlantic,Western,Eastern,,,,,,
1/24/2023,Chicago Blackhawks,2,Vancouver Canucks,5,Vancouver Canucks,,Chicago Blackhawks,Chicago Blackhawks,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/25/2023,Carolina Hurricanes,3,Dallas Stars,2,Carolina Hurricanes,@,Dallas Stars,Carolina Hurricanes,Dallas Stars,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/25/2023,Columbus Blue Jackets,3,Edmonton Oilers,2,Columbus Blue Jackets,@,Edmonton Oilers,Columbus Blue Jackets,Edmonton Oilers,Western,Central,Eastern,Metropolitan,Metropolitan,Central,Eastern,Western,,,,,,
1/25/2023,New York Islanders,1,Ottawa Senators,2,Ottawa Senators,,New York Islanders,New York Islanders,Ottawa Senators,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/25/2023,Vancouver Canucks,1,Seattle Kraken,6,Seattle Kraken,,Vancouver Canucks,Seattle Kraken,Vancouver Canucks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/25/2023,New York Rangers,2,Toronto Maple Leafs,3,Toronto Maple Leafs,,New York Rangers,New York Rangers,Toronto Maple Leafs,Eastern,Atlantic,Eastern,Metropolitan,Metropolitan,Atlantic,Eastern,Eastern,,,,,,
1/26/2023,St. Louis Blues,0,Arizona Coyotes,5,Arizona Coyotes,,St. Louis Blues,Arizona Coyotes,St. Louis Blues,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/26/2023,Chicago Blackhawks,5,Calgary Flames,1,Chicago Blackhawks,@,Calgary Flames,Calgary Flames,Chicago Blackhawks,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/26/2023,Anaheim Ducks,5,Colorado Avalanche,3,Anaheim Ducks,@,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche,Western,Central,Western,Central,Central,Central,Western,Western,,,,,,
1/26/2023,Philadelphia Flyers,2,Minnesota Wild,3,Minnesota Wild,,Philadelphia Flyers,Minnesota Wild,Philadelphia Flyers,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/26/2023,Detroit Red Wings,4,Montreal Canadiens,3,Detroit Red Wings,@,Montreal Canadiens,Detroit Red Wings,Montreal Canadiens,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/26/2023,New Jersey Devils,4,Nashville Predators,6,Nashville Predators,,New Jersey Devils,Nashville Predators,New Jersey Devils,Western,Central,Eastern,Metropolitan,Central,Metropolitan,Western,Eastern,,,,,,
1/26/2023,Boston Bruins,2,Tampa Bay Lightning,3,Tampa Bay Lightning,,Boston Bruins,Boston Bruins,Tampa Bay Lightning,Eastern,Atlantic,Eastern,Atlantic,Atlantic,Atlantic,Eastern,Eastern,,,,,,
1/26/2023,Buffalo Sabres,3,Winnipeg Jets,2,Buffalo Sabres,@,Winnipeg Jets,Buffalo Sabres,Winnipeg Jets,Western,Central,Eastern,Atlantic,Atlantic,Central,Eastern,Western,,,,,,
1/26/2023,Pittsburgh Penguins,2,Washington Capitals,3,Washington Capitals,,Pittsburgh Penguins,Pittsburgh Penguins,Washington Capitals,Eastern,Metropolitan,Eastern,Metropolitan,Metropolitan,Metropolitan,Eastern,Eastern,,,,,,
1/27/2023,San Jose Sharks,4,Carolina Hurricanes,5,Carolina Hurricanes,,San Jose Sharks,Carolina Hurricanes,San Jose Sharks,Eastern,Metropolitan,Western,Central,Metropolitan,Central,Eastern,Western,,,,,,
